,product_price,shipping_cost,assembly_cost,delivery_window_days,customer_rating,product_category,product_subcategory,brand,assembly_service_requested,payment_method,payment_timing,delivery_status
1899,2592.95,80.67,0.0,11.0,2.2,Bedroom,Sleeping,Premium,False,Bank Transfer,Prepaid,On Going
1164,1803.35,110.38,0.0,12.0,2.4,Bedroom,Storage,Premium,False,Digital Wallet,Prepaid,Failed Delivery
416,800.42,79.14,0.0,10.0,2.1,Bedroom,Storage,Premium,False,Bank Transfer,Prepaid,Delivered
1594,424.91,47.01,175.46,4.0,3.2,Office,Work,Affordable,True,Card,Prepaid,Failed Delivery
681,1794.24,144.78,0.0,14.0,3.0,Outdoor,Seating,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1003,1155.88,123.34,94.78,10.0,3.7,Office,Storage,Premium,True,Digital Wallet,Prepaid,Failed Delivery
891,833.19,132.82,0.0,9.0,2.3,Outdoor,Seating,Premium,False,Digital Wallet,Prepaid,Failed Delivery
886,477.35,95.65,0.0,8.0,4.1,Dining Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
704,1818.56,70.91,166.64,5.0,3.0,Dining Room,Storage,Premium,True,Bank Transfer,Prepaid,On Going
1170,728.48,139.58,66.14,2.0,2.2,Outdoor,Seating,Premium,True,Bank Transfer,Prepaid,Failed Delivery
1639,1849.3,73.38,0.0,12.0,3.7,Living Room,Seating,Affordable,False,Bank Transfer,Prepaid,On Going
742,1342.48,88.9,93.52,5.0,3.8,Bedroom,Storage,Premium,True,Digital Wallet,Prepaid,On Going
479,969.56,0.0,50.18,13.0,2.8,Office,Storage,Premium,True,Cash,Postpaid,Failed Delivery
1256,1683.56,89.55,0.0,10.0,1.1,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Delivered
1220,628.07,0.0,58.16,2.0,3.5,Outdoor,Seating,Premium,True,Digital Wallet,Prepaid,Failed Delivery
1173,2979.13,0.0,62.27,4.0,4.2,Bedroom,Storage,Premium,True,Digital Wallet,Prepaid,On Going
713,320.07,88.74,0.0,2.0,2.6,Living Room,Seating,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
142,183.23,39.96,193.34,9.0,4.3,Dining Room,Seating,Premium,True,Card,Prepaid,Delivered
626,1297.18,0.0,81.51,13.0,1.0,Kitchen,Storage,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1686,1441.62,63.67,0.0,13.0,4.9,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,On Going
961,448.65,27.21,54.83,2.0,3.7,Kitchen,Storage,Affordable,True,Cash,Postpaid,On Going
1441,1915.84,63.01,0.0,12.0,3.1,Living Room,Table,Affordable,False,Card,Prepaid,Failed Delivery
1353,1815.87,0.0,0.0,11.0,2.9,Kitchen,Table,Premium,False,Digital Wallet,Prepaid,Delivered
1865,596.07,119.2,0.0,2.0,1.5,Outdoor,Seating,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
588,2073.52,0.0,65.37,4.0,3.1,Living Room,Table,Mid Range,True,Bank Transfer,Prepaid,Failed Delivery
1060,987.0,0.0,271.38,8.0,3.8,Dining Room,Seating,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
615,1249.67,75.64,185.77,3.0,2.0,Office,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
214,418.13,73.85,160.52,10.0,2.6,Kitchen,Storage,Affordable,True,Bank Transfer,Prepaid,On Going
1404,2334.58,0.0,0.0,12.0,2.4,Kitchen,Table,Premium,False,Bank Transfer,Prepaid,Failed Delivery
707,1558.87,134.43,0.0,5.0,3.1,Outdoor,Patio furniture,Premium,False,Digital Wallet,Prepaid,Failed Delivery
665,284.09,26.36,0.0,6.0,1.7,Bedroom,Storage,Premium,False,Cash,Postpaid,On Going
1860,1376.74,149.88,77.36,2.0,1.0,Outdoor,Table,Affordable,True,Card,Prepaid,Delivered
1892,320.09,95.52,91.3,11.0,2.6,Office,Work,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
591,706.52,59.08,0.0,10.0,1.6,Kitchen,Table,Premium,False,Digital Wallet,Prepaid,Failed Delivery
870,1573.35,80.91,31.01,2.0,3.3,Living Room,Table,Mid Range,True,Card,Prepaid,Failed Delivery
1246,1465.2,87.34,156.53,8.0,3.1,Kitchen,Table,Premium,True,Digital Wallet,Prepaid,Delivered
1095,161.36,27.42,0.0,14.0,2.9,Outdoor,Patio furniture,Affordable,False,Cash,Postpaid,On Going
238,357.08,53.8,0.0,7.0,2.7,Office,Work,Premium,False,Card,Prepaid,Failed Delivery
30,1050.22,108.25,169.12,5.0,4.7,Outdoor,Seating,Affordable,True,Card,Prepaid,Delivered
610,190.31,99.72,0.0,13.0,4.0,Dining Room,Seating,Mid Range,False,Cash,Postpaid,Failed Delivery
368,1908.12,0.0,83.55,10.0,4.4,Bedroom,Sleeping,Premium,True,Bank Transfer,Prepaid,Failed Delivery
387,2231.06,125.24,248.91,10.0,1.0,Kitchen,Table,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1636,1904.21,0.0,190.23,6.0,3.1,Kitchen,Table,Premium,True,Bank Transfer,Prepaid,Failed Delivery
1754,603.66,144.53,0.0,4.0,2.8,Living Room,Table,Affordable,False,Digital Wallet,Prepaid,On Going
1053,1667.27,137.72,183.73,11.0,4.5,Living Room,Table,Affordable,True,Card,Prepaid,Failed Delivery
814,570.15,146.8,0.0,8.0,2.0,Office,Work,Mid Range,False,Bank Transfer,Prepaid,Failed Delivery
490,592.85,136.52,0.0,8.0,2.7,Bedroom,Sleeping,Affordable,False,Cash,Postpaid,On Going
469,2109.03,118.81,0.0,3.0,3.4,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
332,2070.31,135.22,0.0,13.0,2.7,Living Room,Seating,Mid Range,False,Cash,Postpaid,On Going
1828,2495.87,112.8,0.0,12.0,4.0,Bedroom,Sleeping,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
676,770.22,81.23,0.0,13.0,1.1,Kitchen,Storage,Premium,False,Digital Wallet,Prepaid,Failed Delivery
208,2766.44,74.1,0.0,14.0,4.2,Bedroom,Sleeping,Mid Range,False,Digital Wallet,Prepaid,Delivered
1457,1044.03,142.38,184.33,13.0,3.2,Bedroom,Storage,Affordable,True,Cash,Postpaid,Failed Delivery
481,1663.49,132.53,57.41,11.0,1.6,Kitchen,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1895,746.65,0.0,150.06,8.0,4.9,Outdoor,Seating,Premium,True,Digital Wallet,Prepaid,On Going
1614,1527.67,113.53,229.37,11.0,2.9,Kitchen,Storage,Mid Range,True,Digital Wallet,Prepaid,On Going
888,173.41,92.24,279.65,2.0,3.7,Outdoor,Table,Affordable,True,Bank Transfer,Prepaid,Failed Delivery
666,1190.43,62.07,188.67,6.0,4.1,Living Room,Storage,Premium,True,Card,Prepaid,Delivered
27,643.97,143.89,111.54,2.0,1.6,Outdoor,Patio furniture,Affordable,True,Card,Prepaid,Failed Delivery
426,464.52,59.15,0.0,5.0,3.0,Bedroom,Storage,Affordable,False,Card,Prepaid,On Going
596,939.3,68.88,290.86,6.0,5.0,Kitchen,Storage,Premium,True,Card,Prepaid,Failed Delivery
1154,2266.24,63.61,0.0,1.0,3.1,Kitchen,Storage,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
752,1267.83,114.1,253.55,8.0,3.1,Office,Work,Affordable,True,Cash,Postpaid,On Going
1179,257.93,78.92,0.0,12.0,3.1,Outdoor,Table,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1657,1089.26,0.0,0.0,8.0,3.8,Dining Room,Seating,Premium,False,Digital Wallet,Prepaid,On Going
1654,1422.96,0.0,27.21,7.0,4.2,Kitchen,Storage,Mid Range,True,Digital Wallet,Prepaid,On Going
1568,507.46,108.65,166.12,10.0,1.7,Dining Room,Table,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
13,2219.42,58.57,0.0,14.0,3.1,Living Room,Table,Premium,False,Card,Prepaid,On Going
244,2414.38,141.88,0.0,14.0,3.8,Living Room,Table,Premium,False,Card,Prepaid,On Going
1863,971.2,129.78,0.0,3.0,1.1,Kitchen,Storage,Mid Range,False,Digital Wallet,Prepaid,On Going
54,187.91,76.8,42.43,5.0,3.4,Office,Work,Mid Range,True,Cash,Postpaid,Failed Delivery
444,1528.53,124.61,0.0,11.0,3.7,Kitchen,Table,Mid Range,False,Cash,Postpaid,On Going
1559,1290.91,59.37,69.01,2.0,2.6,Living Room,Seating,Mid Range,True,Card,Prepaid,Failed Delivery
629,1688.35,140.68,0.0,4.0,4.4,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
358,515.05,103.05,41.72,8.0,3.6,Dining Room,Seating,Mid Range,True,Card,Prepaid,On Going
55,1425.31,56.9,0.0,1.0,4.3,Living Room,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1565,226.72,67.06,171.35,6.0,2.0,Living Room,Seating,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
636,872.64,143.03,0.0,3.0,3.1,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1692,992.8,0.0,269.49,12.0,1.9,Office,Work,Premium,True,Digital Wallet,Prepaid,Failed Delivery
23,425.14,63.09,39.88,11.0,2.6,Kitchen,Table,Mid Range,True,Digital Wallet,Prepaid,On Going
1321,1832.04,0.0,60.96,10.0,3.4,Dining Room,Seating,Mid Range,True,Digital Wallet,Prepaid,On Going
1097,1118.69,112.93,0.0,7.0,1.4,Living Room,Storage,Affordable,False,Cash,Postpaid,Failed Delivery
1924,1569.01,53.67,165.26,8.0,4.3,Dining Room,Storage,Premium,True,Digital Wallet,Prepaid,On Going
627,256.24,36.84,268.9,6.0,4.5,Dining Room,Storage,Premium,True,Card,Prepaid,Delivered
678,1500.03,148.3,129.92,11.0,3.9,Dining Room,Storage,Mid Range,True,Bank Transfer,Prepaid,On Going
924,1962.26,85.3,84.75,2.0,1.2,Living Room,Storage,Affordable,True,Card,Prepaid,Failed Delivery
689,2406.04,125.06,41.46,9.0,1.1,Kitchen,Table,Mid Range,True,Cash,Postpaid,On Going
1655,1730.18,95.65,0.0,6.0,4.4,Outdoor,Table,Mid Range,False,Digital Wallet,Prepaid,On Going
1760,2749.34,51.75,202.39,2.0,3.1,Bedroom,Sleeping,Mid Range,True,Card,Prepaid,On Going
107,1489.42,108.65,0.0,11.0,3.1,Outdoor,Table,Affordable,False,Cash,Postpaid,Failed Delivery
1286,1229.94,138.06,0.0,1.0,4.9,Kitchen,Table,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1009,883.27,76.31,173.16,2.0,4.2,Outdoor,Patio furniture,Affordable,True,Bank Transfer,Prepaid,On Going
1668,1338.6,89.59,33.61,13.0,4.7,Office,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
953,422.79,40.32,0.0,1.0,2.8,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
498,2404.09,60.24,0.0,9.0,1.6,Living Room,Seating,Affordable,False,Digital Wallet,Prepaid,Delivered
1270,502.41,0.0,114.18,8.0,4.5,Office,Work,Mid Range,True,Bank Transfer,Prepaid,On Going
1678,880.07,0.0,0.0,13.0,1.5,Kitchen,Storage,Affordable,False,Card,Prepaid,Failed Delivery
1333,742.22,138.24,0.0,3.0,1.2,Office,Work,Premium,False,Card,Prepaid,Failed Delivery
1413,2646.03,74.05,31.04,9.0,3.1,Bedroom,Storage,Premium,True,Card,Prepaid,Failed Delivery
365,1960.13,89.51,173.45,4.0,3.1,Living Room,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
150,507.68,119.4,0.0,4.0,3.1,Dining Room,Storage,Mid Range,False,Card,Prepaid,Failed Delivery
321,1435.25,113.1,163.45,1.0,1.8,Outdoor,Seating,Premium,True,Cash,Postpaid,Failed Delivery
394,415.22,97.34,45.58,8.0,2.7,Outdoor,Patio furniture,Affordable,True,Card,Prepaid,Delivered
771,1300.83,76.13,0.0,11.0,3.1,Outdoor,Patio furniture,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1746,1244.7,0.0,64.63,6.0,3.1,Living Room,Seating,Affordable,True,Cash,Postpaid,Failed Delivery
1180,1777.24,0.0,0.0,5.0,3.7,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,On Going
458,2791.18,132.01,169.38,2.0,2.9,Bedroom,Storage,Affordable,True,Bank Transfer,Prepaid,On Going
1894,1423.4,129.01,0.0,8.0,1.3,Kitchen,Storage,Affordable,False,Card,Prepaid,Failed Delivery
1368,1687.74,52.07,116.9,5.0,2.7,Living Room,Storage,Affordable,True,Bank Transfer,Prepaid,On Going
1099,1125.96,83.07,0.0,12.0,2.1,Bedroom,Storage,Affordable,False,Card,Prepaid,On Going
737,972.26,99.98,0.0,6.0,2.7,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1426,383.48,55.01,0.0,12.0,3.3,Outdoor,Patio furniture,Mid Range,False,Bank Transfer,Prepaid,Failed Delivery
790,1087.53,72.21,0.0,1.0,2.8,Dining Room,Seating,Premium,False,Cash,Postpaid,Delivered
1715,2423.99,68.54,0.0,11.0,4.1,Bedroom,Sleeping,Premium,False,Bank Transfer,Prepaid,Delivered
938,1777.3,73.85,0.0,14.0,5.0,Living Room,Storage,Affordable,False,Card,Prepaid,Failed Delivery
1735,894.11,79.83,0.0,12.0,2.6,Bedroom,Sleeping,Mid Range,False,Card,Prepaid,On Going
1649,1461.65,116.22,0.0,5.0,4.9,Dining Room,Seating,Affordable,False,Card,Prepaid,On Going
1552,2113.32,109.1,0.0,10.0,1.5,Bedroom,Storage,Mid Range,False,Cash,Postpaid,Failed Delivery
1802,341.62,89.13,33.29,4.0,3.6,Office,Work,Affordable,True,Cash,Postpaid,Failed Delivery
206,262.15,36.33,205.98,10.0,4.7,Outdoor,Seating,Premium,True,Digital Wallet,Prepaid,Failed Delivery
664,1367.41,0.0,80.29,2.0,4.8,Dining Room,Table,Premium,True,Card,Prepaid,Delivered
905,378.62,56.49,0.0,11.0,4.2,Office,Work,Premium,False,Card,Prepaid,Delivered
1340,1772.49,132.59,232.06,5.0,1.8,Bedroom,Sleeping,Mid Range,True,Cash,Postpaid,On Going
756,97.01,40.96,41.45,5.0,2.5,Office,Storage,Mid Range,True,Digital Wallet,Prepaid,On Going
1777,1115.65,66.4,0.0,13.0,2.0,Living Room,Seating,Mid Range,False,Cash,Postpaid,On Going
3,602.59,0.0,0.0,9.0,3.1,Dining Room,Storage,Affordable,False,Digital Wallet,Prepaid,On Going
970,1275.43,139.18,0.0,5.0,1.1,Dining Room,Storage,Affordable,False,Card,Prepaid,Delivered
1615,2046.56,86.3,284.52,1.0,1.9,Living Room,Storage,Affordable,True,Card,Prepaid,On Going
1305,1384.59,0.0,0.0,11.0,4.1,Dining Room,Storage,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1842,1602.35,142.66,0.0,10.0,2.7,Kitchen,Table,Affordable,False,Bank Transfer,Prepaid,Delivered
1152,1017.2,106.29,153.95,12.0,3.1,Outdoor,Table,Affordable,True,Card,Prepaid,On Going
217,211.95,48.12,0.0,13.0,1.5,Living Room,Seating,Premium,False,Digital Wallet,Prepaid,Failed Delivery
189,1239.36,107.83,201.68,2.0,1.2,Office,Storage,Mid Range,True,Card,Prepaid,Failed Delivery
434,1814.49,0.0,57.88,2.0,2.4,Kitchen,Storage,Mid Range,True,Card,Prepaid,On Going
1630,2123.56,0.0,180.33,5.0,1.3,Living Room,Seating,Affordable,True,Card,Prepaid,On Going
890,747.82,0.0,181.38,1.0,2.2,Bedroom,Storage,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1189,2280.51,110.35,0.0,8.0,3.2,Kitchen,Table,Affordable,False,Card,Prepaid,Failed Delivery
1563,734.17,96.02,0.0,3.0,1.2,Outdoor,Seating,Mid Range,False,Bank Transfer,Prepaid,Failed Delivery
1264,1265.45,75.63,189.79,7.0,3.1,Office,Work,Affordable,True,Card,Prepaid,Failed Delivery
876,1748.31,139.51,0.0,2.0,1.7,Dining Room,Storage,Affordable,False,Card,Prepaid,On Going
529,1710.19,145.05,27.16,10.0,3.1,Living Room,Seating,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
661,889.27,138.91,243.4,11.0,3.8,Kitchen,Table,Affordable,True,Digital Wallet,Prepaid,On Going
374,2087.81,126.92,38.79,9.0,3.2,Kitchen,Table,Mid Range,True,Digital Wallet,Prepaid,On Going
168,705.21,111.65,0.0,10.0,4.3,Dining Room,Storage,Premium,False,Bank Transfer,Prepaid,Failed Delivery
1933,2020.28,95.02,0.0,9.0,2.9,Bedroom,Storage,Affordable,False,Digital Wallet,Prepaid,Delivered
844,261.41,36.11,0.0,3.0,4.2,Bedroom,Storage,Mid Range,False,Cash,Postpaid,On Going
1751,894.76,57.63,28.25,2.0,1.5,Outdoor,Seating,Premium,True,Card,Prepaid,Failed Delivery
398,193.79,77.77,172.61,9.0,2.4,Bedroom,Storage,Affordable,True,Digital Wallet,Prepaid,On Going
1932,720.04,58.38,0.0,10.0,2.7,Bedroom,Sleeping,Affordable,False,Digital Wallet,Prepaid,On Going
289,2171.67,106.75,192.1,10.0,3.3,Kitchen,Storage,Premium,True,Digital Wallet,Prepaid,On Going
252,91.45,50.77,254.1,8.0,3.1,Office,Work,Affordable,True,Bank Transfer,Prepaid,On Going
1127,734.13,0.0,49.36,13.0,3.1,Dining Room,Storage,Premium,True,Cash,Postpaid,Failed Delivery
633,291.47,60.17,0.0,12.0,1.8,Outdoor,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
204,866.12,146.65,0.0,8.0,4.2,Kitchen,Storage,Premium,False,Bank Transfer,Prepaid,On Going
489,954.71,0.0,66.53,6.0,2.9,Office,Work,Premium,True,Bank Transfer,Prepaid,On Going
462,1746.87,68.64,0.0,9.0,1.1,Dining Room,Storage,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1705,444.75,96.88,0.0,1.0,4.3,Outdoor,Seating,Mid Range,False,Card,Prepaid,Delivered
1580,1265.44,91.05,0.0,13.0,1.6,Dining Room,Storage,Affordable,False,Digital Wallet,Prepaid,Delivered
297,300.38,65.81,0.0,6.0,1.2,Outdoor,Table,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
277,210.61,88.55,0.0,2.0,3.1,Office,Work,Premium,False,Card,Prepaid,On Going
864,1349.02,65.82,114.13,4.0,3.1,Kitchen,Table,Mid Range,True,Card,Prepaid,Failed Delivery
1034,712.53,106.38,64.51,11.0,3.5,Dining Room,Storage,Affordable,True,Digital Wallet,Prepaid,Delivered
852,2344.84,0.0,48.94,2.0,4.3,Bedroom,Sleeping,Affordable,True,Card,Prepaid,On Going
1529,651.99,0.0,243.8,3.0,4.4,Bedroom,Storage,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
1276,430.53,55.13,0.0,6.0,1.6,Dining Room,Storage,Mid Range,False,Bank Transfer,Prepaid,Failed Delivery
1513,1436.59,129.94,0.0,9.0,3.1,Office,Work,Premium,True,Bank Transfer,Prepaid,Delivered
1645,1881.61,92.84,0.0,2.0,3.1,Dining Room,Seating,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
572,1045.11,0.0,0.0,1.0,3.1,Kitchen,Storage,Premium,False,Digital Wallet,Prepaid,On Going
1139,763.31,65.75,96.81,3.0,4.2,Outdoor,Table,Premium,True,Card,Prepaid,Delivered
1020,1188.22,85.27,37.97,6.0,4.9,Office,Work,Premium,True,Cash,Postpaid,Failed Delivery
296,1012.62,0.0,81.91,2.0,1.5,Dining Room,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
431,1731.82,0.0,0.0,11.0,4.7,Living Room,Seating,Premium,False,Bank Transfer,Prepaid,Failed Delivery
441,826.67,75.59,0.0,4.0,1.3,Office,Work,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1014,2231.36,137.5,0.0,8.0,2.6,Kitchen,Table,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
1907,2208.14,73.85,97.91,6.0,3.1,Kitchen,Storage,Affordable,True,Card,Prepaid,On Going
1008,667.22,107.12,0.0,9.0,3.1,Living Room,Storage,Premium,False,Card,Prepaid,Delivered
988,1311.71,90.86,189.7,9.0,1.3,Dining Room,Storage,Premium,True,Cash,Postpaid,Delivered
1931,688.0,73.85,100.6,13.0,3.1,Kitchen,Table,Premium,True,Cash,Postpaid,Failed Delivery
879,1122.1,100.59,0.0,11.0,3.1,Kitchen,Storage,Mid Range,False,Bank Transfer,Prepaid,On Going
605,216.71,73.85,134.89,12.0,4.1,Dining Room,Seating,Mid Range,True,Digital Wallet,Prepaid,Delivered
1736,405.73,40.35,91.44,3.0,4.0,Kitchen,Storage,Affordable,True,Card,Prepaid,On Going
702,588.31,0.0,36.57,4.0,1.9,Office,Work,Affordable,True,Bank Transfer,Prepaid,Delivered
350,2230.45,51.28,34.52,1.0,1.8,Kitchen,Storage,Affordable,True,Bank Transfer,Prepaid,Delivered
860,378.07,95.8,212.8,8.0,3.0,Outdoor,Table,Premium,True,Digital Wallet,Prepaid,On Going
1300,794.78,136.69,242.23,13.0,2.6,Outdoor,Table,Mid Range,True,Card,Prepaid,On Going
1526,1148.78,0.0,27.9,7.0,1.5,Office,Work,Premium,True,Card,Prepaid,On Going
1823,1503.0,0.0,284.81,8.0,3.1,Outdoor,Patio furniture,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1908,872.52,133.71,170.64,8.0,1.2,Office,Work,Mid Range,True,Card,Prepaid,Failed Delivery
353,1743.62,0.0,0.0,4.0,4.1,Outdoor,Table,Premium,False,Bank Transfer,Prepaid,On Going
1216,1112.4,115.97,0.0,3.0,1.1,Bedroom,Sleeping,Mid Range,False,Digital Wallet,Prepaid,Failed Delivery
1418,1041.61,129.47,0.0,13.0,1.6,Bedroom,Storage,Premium,False,Digital Wallet,Prepaid,On Going
1372,2050.06,58.64,57.29,3.0,3.8,Living Room,Seating,Mid Range,True,Cash,Postpaid,Failed Delivery
593,2576.2,119.81,251.03,2.0,2.4,Bedroom,Storage,Affordable,True,Card,Prepaid,Failed Delivery
1869,959.99,58.58,0.0,1.0,3.1,Office,Storage,Affordable,False,Bank Transfer,Prepaid,Failed Delivery
1087,612.9,87.84,34.89,4.0,3.3,Office,Work,Premium,True,Cash,Postpaid,On Going
1084,707.32,65.18,0.0,4.0,1.7,Dining Room,Seating,Affordable,False,Digital Wallet,Prepaid,Delivered
1642,932.32,0.0,0.0,2.0,3.8,Dining Room,Table,Premium,False,Digital Wallet,Prepaid,Failed Delivery
87,462.5,95.89,0.0,11.0,3.8,Kitchen,Table,Premium,False,Card,Prepaid,Delivered
1461,1178.59,102.18,0.0,11.0,1.6,Office,Work,Affordable,False,Card,Prepaid,Delivered
1877,631.68,0.0,168.43,4.0,4.6,Office,Storage,Affordable,True,Digital Wallet,Prepaid,On Going
1749,1187.72,137.22,57.78,10.0,3.1,Outdoor,Seating,Mid Range,True,Digital Wallet,Prepaid,Failed Delivery
267,317.53,40.05,0.0,12.0,2.9,Kitchen,Storage,Mid Range,False,Cash,Postpaid,Failed Delivery
1687,321.07,75.08,0.0,11.0,1.8,Living Room,Storage,Premium,False,Cash,Postpaid,Failed Delivery
1609,1892.57,108.83,0.0,14.0,3.1,Dining Room,Seating,Affordable,False,Card,Prepaid,Failed Delivery
1635,1396.36,89.35,0.0,10.0,1.3,Office,Work,Affordable,False,Card,Prepaid,On Going
326,2956.91,0.0,56.16,12.0,1.1,Bedroom,Storage,Mid Range,True,Cash,Postpaid,Delivered
1229,1375.43,0.0,0.0,11.0,3.1,Kitchen,Table,Affordable,False,Cash,Postpaid,Delivered
1201,339.53,65.27,195.53,12.0,2.6,Bedroom,Sleeping,Premium,True,Digital Wallet,Prepaid,Delivered
1626,2444.39,134.38,32.87,7.0,3.1,Kitchen,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
999,696.3,0.0,0.0,9.0,3.3,Dining Room,Seating,Mid Range,False,Card,Prepaid,On Going
1896,684.44,91.93,0.0,9.0,1.4,Dining Room,Seating,Mid Range,False,Cash,Postpaid,Delivered
436,1068.87,75.07,255.99,9.0,3.8,Living Room,Table,Mid Range,True,Card,Prepaid,Failed Delivery
124,1397.61,102.27,137.29,5.0,4.1,Bedroom,Storage,Mid Range,True,Card,Prepaid,Failed Delivery
1303,1155.53,108.96,200.56,12.0,2.4,Office,Work,Premium,True,Bank Transfer,Prepaid,Failed Delivery
838,2427.16,131.74,288.83,2.0,3.5,Living Room,Seating,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
874,1418.56,0.0,0.0,8.0,2.4,Outdoor,Seating,Affordable,False,Cash,Postpaid,Failed Delivery
1002,739.94,83.66,26.84,6.0,4.6,Dining Room,Table,Mid Range,True,Bank Transfer,Prepaid,Failed Delivery
1695,2590.55,0.0,32.73,6.0,4.4,Bedroom,Sleeping,Mid Range,True,Digital Wallet,Prepaid,On Going
84,1518.86,59.84,174.95,5.0,1.2,Dining Room,Seating,Affordable,True,Digital Wallet,Prepaid,Delivered
1207,1660.89,0.0,0.0,6.0,3.1,Kitchen,Table,Mid Range,False,Card,Prepaid,Failed Delivery
731,694.16,99.75,0.0,7.0,3.1,Office,Work,Premium,False,Digital Wallet,Prepaid,On Going
1394,1858.86,118.99,0.0,14.0,4.2,Living Room,Storage,Affordable,False,Card,Prepaid,Failed Delivery
663,1733.68,117.31,0.0,13.0,4.9,Outdoor,Seating,Premium,False,Card,Prepaid,Failed Delivery
1218,1408.32,111.04,44.67,2.0,3.1,Outdoor,Seating,Affordable,True,Cash,Postpaid,Delivered
288,791.12,67.54,0.0,12.0,1.5,Kitchen,Storage,Affordable,False,Bank Transfer,Prepaid,On Going
669,1688.31,63.78,295.45,13.0,2.0,Living Room,Table,Premium,True,Digital Wallet,Prepaid,Delivered
1724,609.14,70.64,0.0,4.0,4.4,Bedroom,Storage,Mid Range,False,Digital Wallet,Prepaid,Delivered
1273,1793.77,0.0,0.0,12.0,4.2,Bedroom,Sleeping,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
620,284.87,38.14,0.0,8.0,4.5,Office,Work,Affordable,False,Digital Wallet,Prepaid,Failed Delivery
947,1050.62,137.59,0.0,2.0,3.1,Outdoor,Seating,Premium,False,Digital Wallet,Prepaid,Failed Delivery
1042,1488.33,88.55,0.0,6.0,3.1,Living Room,Table,Premium,False,Digital Wallet,Prepaid,On Going
793,1672.98,0.0,48.08,13.0,3.0,Dining Room,Seating,Affordable,True,Cash,Postpaid,Delivered
1123,1264.17,104.66,0.0,9.0,2.2,Kitchen,Table,Affordable,False,Cash,Postpaid,On Going
412,575.69,0.0,0.0,8.0,1.4,Living Room,Table,Affordable,False,Digital Wallet,Prepaid,Delivered
504,443.36,86.32,155.61,2.0,3.1,Bedroom,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1608,1031.59,108.87,25.09,12.0,1.1,Bedroom,Storage,Affordable,True,Card,Prepaid,On Going
241,2477.51,0.0,187.48,1.0,2.4,Kitchen,Table,Mid Range,True,Cash,Postpaid,Failed Delivery
830,256.97,57.17,62.47,13.0,3.1,Dining Room,Storage,Affordable,True,Card,Prepaid,Failed Delivery
1930,1888.48,73.85,0.0,11.0,4.2,Kitchen,Storage,Premium,False,Digital Wallet,Prepaid,Failed Delivery
514,2671.93,147.5,28.43,13.0,2.8,Bedroom,Storage,Affordable,True,Digital Wallet,Prepaid,Failed Delivery
1314,409.71,80.53,0.0,13.0,1.4,Living Room,Table,Affordable,False,Card,Prepaid,On Going
1380,1097.57,0.0,0.0,13.0,4.6,Kitchen,Table,Premium,False,Card,Prepaid,Failed Delivery
